,type,entry_time,exit_time,entry_price_bnf,exit_price_bnf,entry_price_nft,exit_price_nft,pnl
224,short_bnf-short_nifty,2020-07-03 09:15:00,2020-07-03 11:15:00,10589.5,10588.65,21895.8,21879.35,-453.7500000000364
225,long_bnf-long_nifty,2020-07-03 13:15:00,2020-07-07 13:15:00,10606.85,10796.9,21848.7,22624.75,28903.749999999945
226,short_bnf-short_nifty,2020-07-07 15:15:00,2020-07-10 13:15:00,10787.5,10761.9,22570.55,22376.65,-6127.499999999964
227,long_bnf-long_nifty,2020-07-10 15:15:00,2020-07-20 09:15:00,10771.2,10981.9,22401.7,22401.35,10526.24999999989
228,short_bnf-short_nifty,2020-07-20 11:15:00,2020-07-24 11:15:00,10996.25,11108.85,22418.3,22477.55,7111.250000000018
229,long_bnf-long_nifty,2020-07-24 13:15:00,2020-08-05 11:15:00,11201.85,11117.05,22671.25,21598.45,-31060.000000000036
230,long_bnf-long_nifty,2020-08-05 13:15:00,2020-08-06 13:15:00,11103.9,11200.4,21508.65,21653.1,8436.249999999927
231,long_bnf-long_nifty,2020-08-06 15:15:00,2020-08-07 15:15:00,11206.8,11216.9,21666.75,21762.0,2886.250000000018
232,short_bnf-short_nifty,2020-08-10 09:15:00,2020-08-14 13:15:00,11325.1,11177.6,21987.0,21691.85,-14753.750000000036
233,long_bnf-long_nifty,2020-08-14 15:15:00,2020-08-19 11:15:00,11183.05,11435.85,21695.65,22355.05,29125.0
234,short_bnf-short_nifty,2020-08-19 13:15:00,2020-08-20 11:15:00,11403.35,11331.15,22270.05,21955.25,-11480.000000000018
235,long_bnf-long_nifty,2020-08-20 13:15:00,2020-08-20 15:15:00,11309.95,11309.65,21991.0,21980.65,-273.7500000000182
236,short_bnf-short_nifty,2020-08-21 09:15:00,2020-09-02 11:15:00,11390.95,11473.0,22265.1,23588.9,37197.50000000004
237,long_bnf-long_nifty,2020-09-02 13:15:00,2020-09-02 15:15:00,11529.05,11543.1,23861.2,23879.4,1157.5000000000728
238,long_bnf-long_nifty,2020-09-03 09:15:00,2020-09-28 11:15:00,11557.25,11212.3,23766.4,21607.1,-71230.00000000012
239,short_bnf-short_nifty,2020-09-28 13:15:00,2020-09-29 11:15:00,11227.95,11207.2,21654.9,21343.15,-8831.25
240,short_bnf-short_nifty,2020-09-29 15:15:00,2020-09-30 11:15:00,11222.65,11252.9,21436.15,21339.5,-903.7500000000364
241,long_bnf-long_nifty,2020-09-30 13:15:00,2020-09-30 15:15:00,11247.4,11226.3,21459.4,21416.85,-2118.750000000091
242,short_bnf-short_nifty,2020-10-01 09:15:00,2020-10-13 15:15:00,11400.2,11925.25,22051.45,23443.6,61056.249999999905
243,long_bnf-long_nifty,2020-10-14 09:15:00,2020-10-14 15:15:00,11849.55,11966.45,23233.75,23858.65,21467.50000000011
244,short_bnf-short_nifty,2020-10-15 09:15:00,2020-10-15 15:15:00,11931.2,11672.55,23924.75,23035.5,-35163.75000000007
245,long_bnf-long_nifty,2020-10-16 09:15:00,2020-10-16 13:15:00,11767.3,11764.65,23308.3,23546.05,5811.250000000018
246,short_bnf-short_nifty,2020-10-16 15:15:00,2020-10-26 13:15:00,11770.25,11768.5,23528.4,24081.75,13746.249999999964
247,long_bnf-long_nifty,2020-10-26 15:15:00,2020-10-27 11:15:00,11776.9,11853.25,24101.55,24597.25,16210.000000000036
